,nuclide,Thalf,unit,half life ICRP,halflifeInS_OILS,halflife,DecayConst,OILDecayConst,comparison
83,Gd-148,74.6,y,93.0,2350000000.0,2352585600.0,2.946320765373831e-10,2.9463207653738303e-10,true
84,Gd-153,240.4,d,242.0,20800000.0,20770560.0,3.337161735456075e-08,3.3371617354560696e-08,true
85,Dy-165,2.33,h,2.334,8400.0,8388.0,8.263557231282133e-05,8.2494e-05,true
86,Dy-166+,81.6,h,81.6,294000.0,293760.0,2.359569650598942e-06,2.35956965059894e-06,true
87,Ho-166,26.8,h,26.8,96500.0,96480.0,7.184361324211705e-06,7.184361324211709e-06,true
88,Ho-166m,1200.0,y,1200.0,37800000000.0,37843200000.0,1.8316294091407313e-11,1.83162940914073e-11,true
89,Er-169,9.4,d,9.3,812000.0,812160.0,8.534613629825961e-07,8.534613629825959e-07,true
90,Tm-170,128.6,d,128.6,11100000.0,11111040.0,6.238364550572631e-08,6.23836455057263e-08,true
91,Yb-169,32.03,d,32.01,2770000.0,2767392.0000000005,2.504694602571465e-07,2.50500743522026e-07,true
92,Yb-175,4.19,d,4.19,362000.0,362016.00000000006,1.9146865899848215e-06,1.917e-06,true
93,Lu-177,6.65,d,6.71,574000.0,574560.0,1.206396513088181e-06,1.20694099774882e-06,true
94,W-188+,69.78,d,69.4,6030000.0,6028992.0,1.1496899988587567e-07,1.15e-07,true
95,Re-186,3.72,d,3.7766666667,321000.0,321408.00000000006,2.1565959172140865e-06,2.15758190894667e-06,true
96,Re-188,17.0,h,16.98,61200.0,61200.0,1.1325934322874923e-05,1.1323270024045698e-05,true
97,Ir-192,73.83,d,74.02,6380000.0,6378912.0,1.0866228920542332e-07,1.0866670475620599e-07,true
98,Ir-194,19.28,h,19.15,69400.0,69408.00000000001,9.986560346933281e-06,9.98656034693328e-06,true
99,Au-198,2.7,d,2.696,233000.0,233280.0,2.9713099303838534e-06,2.97663479930261e-06,true
100,Au-199,3.14,d,3.139,271000.0,271296.0,2.5549480293109567e-06,2.55576196624288e-06,true
101,Hg-203,46.61,d,46.6,4030000.0,4027104.0,1.7212050658735042e-07,1.72113121342925e-07,true
102,Tl-201,72.91,h,73.056,262000.0,262475.99999999994,2.640802132613822e-06,2.64072969454786e-06,true
103,Tl-204,3.78,y,3.779,119000000.0,119206079.99999999,5.814696536954704e-09,5.8146965369546995e-09,true
104,Bi-207,32.9,y,38.0,1040000000.0,1037534400.0,6.68071517011817e-10,6.68071517011817e-10,true
105,Bi-212+,60.55,m,60.55,3630.0,3633.0,0.0001907919572144083,0.000190792,true
106,Bi-213,45.59,m,45.65,2740.0,2735.4,0.00025339883766905944,0.0002533988,true
107,Po-210,138.38,d,138.38,12000000.0,11956031.999999998,5.797468428990031e-08,5.7999999999999997e-08,true
108,At-211+,7.21,h,7.2139999999999995,26000.0,25956.0,2.670469951301993e-05,2.66898923605314e-05,true
109,Rn-222,3.82,d,3.8,330000.0,330048.0,2.1001405267111005e-06,2.09821807559472e-06,true
110,Ra-223+,11.43,d,11.434000000000001,988000.0,987552.0,7.018842355237448e-07,7.018842355237449e-07,true
111,Ra-224+,3.66,d,3.66,316000.0,316224.00000000006,2.1919499486438256e-06,2.1919499486438302e-06,true
112,Ra-226+,1600.0,y,1600.0,50500000000.0,50457600000.0,1.3737220568555486e-11,1.37372205685555e-11,true
113,Ac-225+,10.0,d,10.0,864000.0,864000.0,8.022536812036404e-07,8.02253681203641e-07,true
114,Th-227+,18.68,d,18.718,1610000.0,1613952.0,4.294719920790366e-07,4.2947199207903703e-07,true
115,Th-228+,1.91,y,1.9131,60300000.0,60233760.0,1.1507619324444385e-08,1.14979875024528e-08,true
116,Th-230,75380.0,y,77000.0,2380000000000.0,2377183680000.0,2.9158334982341175e-13,2.91583349823412e-13,true
117,Th-232,14050000000.0,y,14100000000.0,4.43e+17,4.430808e+17,1.5643809900134361e-18,1.56438099001344e-18,true
